Nro,Job Title,Description,Majors/Concentrations,Qualifications
0,Jefe de Equipos,"Por encargo de nuestro cliente, una importante empresa especializada en el movimiento de tierras y líder en su rubro, nos ha encomendado la búsqueda de un profesional que cuente con el siguiente perfil: 

	FUNCIONES:  
•	Control de costos y de indicadores de gestión incluyendo la rentabilidad económica por equipo.
•	Asegurar, planear, dirigir y controlar la operatividad de los equipos en obra, reflejada en el  indicador de disponibilidad mecánica.
•	Elaboración y seguimiento de planes de mantenimiento preventivo, correctivo y predictivo,  combustibles, consumibles, elementos de desgaste, etc.
•	Generación, aplicación y supervisión de los programas de mantenimiento y supervisión técnica.
•	Gestión, control y seguimiento de repuestos e insumos para los equipos.  
LUGAR DE TRABAJO:
•	Frecuentemente fuera de Lima.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","REQUISITOS:  
•	Profesional titulado en la carrera de Ingeniería Mecánica (preferible)
•	Experiencia mínima de 7 años ocupando puestos similares con maquinaria pesada de construcción (Excavadoras, cargadores frontales, tractores, motoniveladoras y rodillos. Énfasis en excavadoras y cargadores marca Volvo)
•	Experiencia mínima de 3 años como Jefe de Equipos en Obra.  
CONOCIMIENTOS:
•	Gestión en equipos de movimiento de tierra
•	Conocimiento en Maquinaria Pesada de Construcción
•	Manejo de Indicadores de costos y eficiencia.
•	Dominio de Microsoft Office (principalmente MS Excel y MS Project). 
•	Experiencia en trabajo de campo"
1,Ingeniero Trainee (Ing. Mecanico),"Asistencia a la gerencia de Servicio Técnico
Control de indicadores y analisis de reportes via SAP.
Elaboración de informes
Generar indicadores
Actualización de información","ANTROPOLOGÍA, ANTROPOLOGÍA CON MENCIÓN EN ESTUDIOS ANDINOS, ANTROPOLOGÍA FORENSE Y BIOARQUEOLOGÍA, ANTROPOLOGÍA VISUAL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",Deseable conocimiento en SAP
2,Especialista Técnico Automotriz,"- Brindar capacitaciones al personal técnico y comercial.

- Detectar, de forma oportuna, las fallas de fábrica y solucionar los problemas técnicos.

- Facilitar información al servicio de post venta (Taller).

- Realizar pruebas de testeo, resistencia en las unidades y homologación de accesorios.

- Administrar las garantías.

- Supervisar la correcta operación del almacén de vehículos y de los talleres de pre entrega. 

- Elaborar planes de acción correctivos y preventivos para la mejora continua en los talleres.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Experiencia mínima de 2 años realizando las funciones descritas.

- Deseable especialización en Electrónica.

- Indispensable dominar inglés técnico a nivel intermedio.

- Manejo de Excel

- Contar con licencia de conducir A1"
3,Practicante de Business Intelligence,"- Apoyo en la generación de reportes de Planning.
- Apoyo con los Koros a KAM y Marketing 
- Apoyo en la homologación de Códigos para actualizar la BD y resultados de mes.
- Apoyo en la modificación de macros para actualización de Koros y Condor.","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","*INDISPENSABLE MANEJO DE MACROS.
-Competencias: Analítico, Ingles,  Conocimientos en programación o conocimientos en Lógica/ flujo de un proceso.
- Habilidades: Proactivo, interés por trabajar en un puesto que maneja flujos de procesos."
4,DESARROLLADOR FULLSTACK,"
Desarrollar en WEB PHP, .Net, SQL, JQuery, HTML5, arquitectura de N capas, web services. 
Modelar, crear tablas, triggers y stored procedures en SQL Server 2012.
Realizar publicaciones de su máquina local al entorno de Desarrollo usando el servidor de versionado GIT.
Documentar lo desarrollado.
Realizar pruebas de lo desarrollado.","INFORMÁTICA CON MENCIÓN EN CIENCIAS DE LA COMPUTACIÓN, INFORMÁTICA CON MENCIÓN EN INGENIERÍA DE SOFTWARE, INGENIERÍA, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Requisitos Obligatorios: 3+ años de experiencia desarrollando comprobado con constancias, boletas de pago y/o recibos por honorarios. Bachiller de ingeniería informática, sistemas o ramas afines. Una certificación reconocida o un curso de más de 36 horas relacionado a lo solicitado. RUC activo y habido. Requisitos Opcionales: Inglés básico. Experiencia en el estado.
Indispensable: Trabajo bajo presión, trabajo en equipo, compromiso, comunicación, innovación, disciplina y puntualidad. Que sea versátil en cuanto al uso de las tecnologías, adaptación al cambio."
5,Especialista Aseguramiento TI,Responsable de asegurar la debida asimilación de la tecnología y la seguridad de la información en su total dimensión. Responsable de gestionar y asegurar la infraestructura física y virtual en la que se aloja los servicios de TI. Responsable de integrar la gestión presupuestal del área de TI. Todo ello para garantizar que la información y los servicios de tecnología sean  gestionados de acuerdo a las mejores prácticas y aprovechados al máximo nivel.,"INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","Titulado en la carrera de Ingenieria de Sistemas, Industrial o Electronica.
Experiencia en Gestión de la seguridad de la información (ISO 27000), Gestión de riesgos (ISO 27005), Gestión de servicios usando ITIL, Negociación con proveedores y clientes y definición de niveles de servicio, Gestión de productos tecnológicos: datacenter.
Haber gestionado la continuidad del negocio.
Haber gestionado programas de asimilación de tecnología.
Nivel avanzado de SAP.
MS Office a nivel avanzado.
Ingles a nivel avanzado."
6,Ingeniero de Ventas - Empresa Transnacional Especialista en Automatización y Control,"- Responsable de visitar clientes nuevos o existentes promoviendo nuestros productos y aplicaciones para sus procesos.
- Captación, elaboración y evaluación técnica y económica de nuevos proyectos del mercado de válvulas de control.
- Informar oportunamente a su supervisor de cambios en el mercado, proyectos pendientes o perdidos.
- Desarrollar junto a su supervisor estrategias de venta y marketing (oportunidades, estructura de precios, soluciones técnicas, procedimientos de cotización, seguimiento y cierre de proyectos) y coordinar los recursos necesarios.
- Apoyo técnico y comercial a representantes locales, coordinación con servicios y ventas internas.
- Responsable de la preparación de informes de ventas en forma mensual, cuartal y anual.
- Introducir el producto al mercado de alimentos y bebidas / refinerías / minería.
- Desarrollo continuo de las ventas.
- Búsqueda de nuevas alternativas de negocio y contactos.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Experiencia en el área de ventas (2 - 3 años).
- Experiencia en ventas de válvulas de control, equipos de control o automatización o bombas centrífugas (1 año).
- Experiencia con productos similares (selección, configuración y operación)"
7,Practicante Profesional Asistencia Técnica MRS,"Funciones

Desarrollo de mejoras de procesos o procedimientos de Entrega Técnica, Capacitación y Garantías.
Desarrollo de proyectos como:
Catálogos de tiempos de entrega y arranque de máquinas nuevas
Catálogos de tareas de servicio de arranque
Mejora de protocolos de arranque
Catálogos de Entrenamiento interno
Catálogos de Entrenamiento a clientes
Folletos para publicitar venta de cursos de entrenamiento a clientes
Desarrollo del calendario de cursos de capacitación a clientes en la WEB de la empresa
Otros según necesidades del área
Ayudar en diversas tareas que le encomiende la Jefatura del área.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","•	Profesional recién egresado de las especialidades de Ingeniería Mecánica o Mecánica-Electricidad, Minas o Industrial.
•	Conocimiento básico de equipos de minería, deseable. 
•	Conocimiento o experiencia práctica en desarrollo de proyectos, deseable.
•	Nivel de Inglés Avanzado, deseable."
8,Analista de control operacional de CHI y mantenimiento CHI y CHD,"Analizar los resultados de producción diaria, alertando las desviaciones y el cumplimiento del Presupuesto de Operaciones CHI.

Hacer seguimiento a los reportes de avance de los planes de mantenimiento, así como los avances en la ejecución presupuestal.

Coordinar para el cumplimiento de los planes de mantenimiento de operaciones de los negocios de CHI y CHD.

Analizar y brindar soporte a la ejecución de los mantenimientos predictivos, así como las operaciones mayores de mantenimiento de los activos de las plantas.

Hacer seguimiento a la realización de los muestreos de aceite de los equipos de plantas y chatas.

Contribuir con la organización y control de los programas de modo de fallas.

Analizar el funcionamiento de los activos, verificando el cumplimiento de las premisas establecidas en el proyecto base, identificando desviaciones.

Asegurar el cumplimiento de las políticas, base documental, legislación y otros requisitos aplicables del Sistema Integrado de Gestión (Calidad, Medio Ambiente, Seguridad y Salud Ocupacional, Seguridad en la cadena de suministro, COLPA y otros que la organización implante), en su área de trabajo.

Realizar otras funciones que asigne su jefe inmediato, relacionadas con su área de trabajo.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",
9,Jefe de Mantenimiento,"1. Ser responsable de la gestión del plan de mantenimiento preventivo y correctivo de los equipos de la empresa.
2. Conocer el Contrato suscrito entre la Mina y la empresa, el Reglamento de Seguridad y Salud en el Trabajo y otros documentos internos de la organización.
3. Fomentar la cultura de Seguridad y Conservación del Medio Ambiente.
4. Fomentar el respeto, armonía y cordialidad entre todo el personal de la obra. 
5. Capacitar e instruir a su personal para reducir los incidentes.
6. Presentar mensualmente un informe escrito sobre los equipos a la Residencia, Gerencia de Obra y Gerencia de Operaciones.
7. Coordinar con las diferentes áreas para la ejecución de los Programas de Mantenimiento preventivos y correctivos.
8. Elaborar y verificar los pedidos  de repuestos y materiales en forma oportuna.
9. Elaborar y verificar en coordinación con el departamento de seguridad, el programa mensual de seguridad de su área.
10. Elaborar y verificar todos los reportes o herramientas de gestión propios de su área.
11. Elaborar y verificar el programa de mantenimiento de equipos.
12. Participar en forma obligatoria en las reuniones diarias de coordinación.
13. Controlar y hacer seguimiento  del control de repuestos y consumibles pendientes de atención.
14. Evaluar y aprobar el equipo humano de su área de acuerdo a la prioridad de la reparación y mantenimiento de equipos. 
15. Supervisar y hacerse responsable de los procedimientos para evitar la contaminación por grasa y aceites y clasificar el material de reciclaje.
16. Controlar y hacer seguimiento del uso de los materiales e insumos utilizados en su área.","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Sólidos conocimientos en equipos trackless.
Sólidos conocimientos en planeamiento, informes de costos y otros relacionados.
Al menos tres años de experiencia en cargos similares en empresas contratistas de reconocido prestigio.
Capacidad de gestionar personas.
Deseable contar con brevete.
Se requiere un profesional que apueste al futuro de la empresa y que se comprometa con ésta; emprendedor, perseverante, enfocado a resultados, con criterio para solucionar problemas y tomar decisiones. Con competencias para trabajo en equipo, buena comunicación a todo nivel, capacidad para coordinar a distancia y buen trato.
Conducta ejemplar y liderazgo."
